"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central African Republic","CAF","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","3.83289012966115","5.6536121595346","7.5655256349106","9.50495203370336","","7.95208334037526","10.9338744623191","10.2615244812157","13.3130467637717","16.9739962234007","22.9916918815212","15.3930513217122","16.4484445348306","14.8524777544678","14.4181091599998","16.531354193985","22.3937861253719","27.1213514390775","27.3029498790311","30.1184837271836","33.4443834948606","32.9690329685884","27.1130788148566","81.5326260180529","72.4809579493537","50.4639308491706","55.6505444263185","59.9985899153265","62.887562396413","72.7428079677095","79.8059244147682","145.399998864221","79.4611234608107","64.71017267156","77.0597281531602","65.4447335193493","62.6155643197865","64.1498923261557","68.8006684827839","57.5529926589294","54.0834703528539","70.883583","59.464776","73.976696","67.091077","81.9482088","","",
"Central Europe and the Baltics","CEB","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.1271744050593","47.9255079231983","49.6282510038215","38.4400281035253","33.3490998634731","58.8160201029408","35.8778811735772","19.1908486934106","29.1094485453343","32.5958958805688","41.9045866086053","38.5696962880328","41.1730809337059","53.9805048769841","34.0697445973545","35.6705453702837","45.2867457233017","34.0491932733307","35.4839675288489","31.0840072371222","34.4212413031399","32.1999125524953","30.643992341835","29.3668606424922","23.5274118059246","33.2074812153414","27.4856051164242","31.5442605849396","","",
"Switzerland","CHE","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","192.227357622183","206.412470873066","120.574015091382","112.759199657944","159.509070093891","185.269034568395","195.351885250433","","287.579934924595","325.737691869501","255.152477296826","101.476064525442","329.028958792432","276.876443572289","242.067112190502","254.083336283194","38.7560095425129","37.2929218942598","69.0844218657887","89.7174535702686","80.1596033097245","103.72757708339","93.9079347203373","99.8387940507122","68.5976828401584","80.0309674442374","111.233152032622","80.1026067760056","61.7067809863139","5.28933929372191","6.0347854707553","6.7022838034355","98.7923179629464","160.480774334817","72.3799128708812","71.2054006724526","75.9882313978502","47.9948752063884","45.4069518525228","49.0905302711631","62.871357887148","60.6999546733008","55.3949787541694","65.1105","52.6426","65.3328","36.6741","47.2643","","",
"Channel Islands","CHI","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7137774902975","13.5094872196958","13.1689055274169","17.6760457417996","3.72553331867165","6.79327183939229","0.511780250865374","0.0527119629124035","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28621385722003","5.95582946851517","5.89138900908698","7.78585268113977","15.2013527915037","1.63469569343032","10.3094987131865","8.28873618391333","9.55910459591672","9.54236179439434","7.22987079317745","5.34208360928814","8.7403530341374","11.1880707059364","14.9828471496963","15.9456281026619","21.2120573069692","21.9048606776101","16.0506333766144","16.9471942096475","18.9673330494891","14.8382190814038","15.5485489576318","11.6318957877296","10.3358882491384","11.2674873138383","12.8858047744025","18.087472","9.3095424","11.235164","16.137509","14.4429878","","",
"China","CHN","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.6370171030665","114.244535192578","97.6395428916971","101.181736649302","140.782227105124","219.535230370068","219.15596179179","205.016627397069","195.597103689813","135.966672191666","194.877219313193","199.157924385376","480.287296024602","249.907289144698","197.713255619425","206.654399","212.9575667","257.262685","279.550781","283.0379189","","",
"Cote d'Ivoire","CIV","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56485103821848","58.8837685611879","22.5636101776284","30.5524239007892","","1.04204903437885","5.83105255833372","7.56079114431737","0.873779502758502","1.33033140388375","1.47323511765882","2.40893856894548","1.49887884205607","2.5760120906995","1.979008256303","4.11778565674209","3.92859300527568","3.17136343062145","1.85412558050767","","3.10833964387398","3.40705697499658","4.17712916722364","5.27361435973611","","","1.8616","","","","","",
"Cameroon","CMR","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9080531579592","27.786440615241","16.9167076565909","20.5595317626619","14.1258406637294","10.8858420078413","12.8896751954701","12.2864499010802","10.0690082180832","11.731861544408","13.4796920963127","13.0127091680836","11.3296525141256","13.1561","10.5308","9.4061","7.9163","9.5044","","",
"Comoros","COM","Stocks traded, turnover ratio of domestic shares (%)","CM.MKT.TRNR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
